ENVIRONMENT,NAME,PARENT,CHILD,WHERECLAUSE,CARDINALITY,DBJOINREQUIRED,REMARKS,MAXRELATIONSHIPID
N08,NEWASSETSITE,INVUSELINE,ASSET,assetnum=:newassetnum and siteid=:tositeid,-,-,Relationship to the Asset table,used to find the rotating asset. The resulting set will contain zero or one object.
N08,NEWASSETSITE,INVUSELINESPLIT,ASSET,assetnum=:newassetnum and siteid=:tositeid,-,-,Relationship to the Asset table,used to find the rotating asset. The resulting set will contain zero or one object.
N08,TLOAMRECONRESULT,NETPRINTER,RECONASSETRESULT,nodeid=:nodeid and code not in ('C3','C4','C1','C2') and recontype in (select maxvalue from synonymdomain where domainid = 'RECONTYPE' and maxvalue = 'ASSET') and compset in (select maxvalue from synonymdomain where domainid = 'RECONTYPE' and maxvalue = 'DEPLOYED ASSET'),-
N08,TLOAMASSETLINK,RECONLINK,ASSET,assetid=:assetid and siteid=:siteid,-,-,Link between RECONLINK and ASSET,96275
N08,DATESELECTOR,RECONTASK,DATESELECTOR,pattern = :schedule,-,-,Date selector pattern for Cron Task,96276
N08,TLOAMSWVARIANT,TLOAMSOFTWARE,TLOAMSOFTWARE,targetsoftwareid=:tloamsoftwareid,-,-,Software variants,96277
N08,TLOAMPVRCHILDREN,TLOAMSOFTWARE,TLOAMSOFTWARE,parent=:tloamsoftwareid,-,-,Returns the Product/Version/Release children for this Software Product. (Zero or more),96278
N08,TLOAMSWCATALOG,TLOAMSOFTWARE,TLOAMSWCATALOG,tloamswcatalogid=:catalogsourceid,-,-,Relationship of software to catalog,96279
N08,TLOAMDPAMMANUVARIANT,TLOAMSOFTWARE,DPAMMANUVARIANT,manufacturervar=:manufacturer,-,-,relationship of tloamsoftware to manufacturer variant,96280
N08,TLOAMDPAMMANUFACTURER,DPAMMANUVARIANT,DPAMMANUFACTURER,manufacturername=:manufacturername,-,-,relationship of manufacturer variant to manufacturer,96281
N08,TLOAMASSETLINEAGE,TLOAMSOFTWARE,ASSET,exists (select 1 from reconlink where exists (select 1 from tloamdpaancestor where exists (select 1 from tloamvdpasoftware where (tloamvdpasoftware.tloamproductid = :tloamsoftwareid or exists (select 1 from tloamsoftware where tloamsoftware.targetsoftwareid = :tloamsoftwareid and tloamsoftware.tloamsoftwareid = tloamvdpasoftware.tloamsoftwareid)) and tloamdpaancestor.nodeid=tloamvdpasoftware.nodeid) and tloamdpaancestor.ancestor=reconlink.nodeid) and reconlink.assetnum=asset.assetnum and reconlink.siteid=asset.siteid),-,-,The asset linked to a software catalog entry where instances of that software have been found. If this is a partition,the query returns also all partition parents and the computer where the partition has been found
N08,TLOAMDUPLALTKEY,TLOAMSOFTWARE,TLOAMSOFTWARE,tloamsoftwareid!=:tloamsoftwareid and uniqueid=:uniqueid,-,-,Find another object with the same alternate key,96283
N08,TLOAMPVRCHILDVER,TLOAMSOFTWARE,TLOAMSOFTWARE,parent=:tloamsoftwareid and type in (select value from synonymdomain where domainid = 'TLOAMSWTYPE' and maxvalue = 'VERSION'),-,-,Returns the Version children for this Software Product. (Zero or more),96284
N08,TLOAMPVRCHILDREL,TLOAMSOFTWARE,TLOAMSOFTWARE,parent=:tloamsoftwareid and type in (select value from synonymdomain where domainid = 'TLOAMSWTYPE' and maxvalue = 'RELEASE'),-,-,Returns the Release children for this Software Product. (Zero or more),96285
N08,TLOAMPVRPARENT,TLOAMSOFTWARE,TLOAMSOFTWARE,tloamsoftwareid = :parent,-,-,Relationship from Software Catalog to Software Catalog to get Parent in Product-Version-Release relationship. Returns zero or one row.,96286
N08,DPASOFTWARE,TLOAMSOFTWARE,DPASOFTWARE,tloamsoftwareid=:tloamsoftwareid,-,-,Deployed software inventory (TAMIT) for a catalog entry,96287
N08,TLOAMSWRELPARENT,TLOAMSOFTWARE,TLOAMSWREL,parentsw=:tloamsoftwareid and isdeleted=:no,-,-,Product Parent Relationship (excludes deleted ones),96288
N08,TLOAMSWRELCHILD,TLOAMSOFTWARE,TLOAMSWREL,childsw=:tloamsoftwareid and isdeleted=:no,-,-,Product Children Relationship (excludes deleted ones),96289
N08,TLOAMSOFTWARE,TLOAMSWREL,TLOAMSOFTWARE,tloamsoftwareid=:childsw,-,-,Return the children Software Catalog Relationship entries.  (1 or more),96290
N08,TLOAMRELSWPARENT,TLOAMSWREL,TLOAMSOFTWARE,tloamsoftwareid=:parentsw,-,-,The parent in a SW Catalog relationship record,96291
N08,TLOAMSOFTWARE,TAMITSWPRTNUM,TLOAMSOFTWARE,ccid=:ccid,-,-,Relationship from Software Part Number to Software Catalog. Return zero or one row.,96292
N08,TAMITSWPRTNUM,TLOAMSOFTWARE,TAMITSWPRTNUM,ccid=:ccid,-,-,Relationship from Software Catalog to Software Part Number. Return zero or more rows.,96293
N08,PARENTDPAANCESTOR,COMPUTERSYSTEM,TLOAMDPAANCESTOR,nodeid = :nodeid,-,-,Relationship to the deployed asset ancestor,used to find all parent relationship record in hierarchy tree.
N08,ALLASSETS,PLUSDSPLAN,ASSET,siteid=:siteid,-,-,-,96312
N08,ALLLOCATIONS,PLUSDSPLAN,LOCATIONS,siteid=:siteid,-,-,-,96313
N08,ASSET,PLUSCSPOTCHECK,ASSET,assetnum = :assetnum,-,-,-,96314
N08,DOCLINKS,PLUSDSPLAN,DOCLINKS,ownertable='PLUSDSPLAN' and ownerid=:plusdsplanid,-,-,-,96315
N08,DRILLDOWN,PLUSCDSASSETLINK,DRILLDOWN,-,-,-,Relationship from the PLUSCDSASSETLINK to the non-persistent DrillDown table. (No where clause). Used on the Work Asset tab from Data Sheets,96316
N08,DRILLDOWN,PLUSCSPOTCHECK,DRILLDOWN,-,-,-,-,96317
N08,ITEM,PLUSCTPSPAREPART,ITEM,itemnum = :itemnum and itemsetid = :itemsetid,-,-,relationship to the item table (plusctpsparepart.itemnum = item.itemnum,96318
N08,ITEMORGINFOSTATUS,PLUSCTPSPAREPART,ITEMORGINFO,itemnum=:itemnum and itemsetid=:itemsetid and orgid=:orgid and status in (select value from synonymdomain where domainid = 'ITEMSTATUS' and maxvalue in ('ACTIVE','PLANNING','PENDOBS') ),-,-
N08,LOCATION,PLUSCJPDATASHEET,LOCATIONS,location = :location and siteid = :siteid,-,-,Relationship to the Location table,used to find the location associated with the jp datasheet. This resulting set will contain zero or one object.
N08,PLUSCASPOTCHECK,ASSET,PLUSCSPOTCHECK,siteid = :siteid and wonum in ( select wo.wonum from workorder wo,pluscspotcheck spotc where wo.wonum = spotc.wonum and spotc.siteid=:siteid and spotc.siteid = wo.siteid and spotc.assetnum = :assetnum ),-,-,Relationship to the PLUSCSPOTCHECK table through the WORKORDER table for the View Spot Check History dialog
N08,PLUSCASSET,WPTOOL,ASSET,assetnum = :plusassetnum,-,-,-,96322
N08,PLUSCASSET,LOCATIONS,ASSET,(location=:location or plusclploc=:location) and siteid = :siteid,-,-,Relationship to the Asset table,including assets related through the loop location field. (locations.location = asset.location). The resulting set will contain zero or more objects.
N08,PLUSCASSETSLINK,ASSET,PLUSCDSASSETLINK,assetnum=:assetnum and orgid=:orgid and siteid=:siteid and revisionnum in (select revisionnum from plusdsplan where dsplannum=pluscdsassetlink.dsplannum and status in (select value from synonymdomain where domainid = 'PLUSCDSSTATUS' and maxvalue = 'APPR') and ((orgid =:orgid and siteid=:siteid) or (orgid is null and siteid is null) or (orgid=:orgid and siteid is null))),-,-,Relationship to PLUSCDSASSETLINK,96324
N08,PLUSCASSETSLINK,PLUSCDSASSETLINK,PLUSDSPLAN,dsplannum =:dsplannum,-,-,Relationship to PLUSDSPLAN,96325
N08,PLUSCASSETSTATUS,ASSET,PLUSCASSETSTATUS,assetnum=:assetnum and orgid=:orgid and siteid=:siteid,-,-,relates to the status history table,96326
N08,PLUSGPRITEMCERT,PLUSGPERTYPE,PLUSGPRITEMCERT,pertypeid = :plusgpertypeid,-,-,Relationship to recover all the associations between a certificate and items.,96866
N08,PLUSGPOITEMCERT,POLINE,PLUSGPOITEMCERT,polineid = :polineid,-,-,Relationship between the po and its association of items and certificates.,96867
N08,PLUSGITEM,PLUSGPOITEMCERT,ITEM,itemid = :itemid and itemsetid = :itemsetid,-,-,Relationship po item certificates table and items.,96868
N08,PLUSGITEMCERT,PLUSGPOITEMCERT,PLUSGITEMCERT,itemid = :itemid and itemsetid = :itemsetid,-,-,Relationship to certificates associated with an item.,96869
N08,PLUSGPERTYPE,PLUSGPOITEMCERT,PLUSGPERTYPE,plusgpertypeid = :pertypeid,-,-,Relationship to retrieve information of a certificate.,96870
N08,PLUSGPOITEMCERT,PLUSGPERTYPE,PLUSGPOITEMCERT,pertypeid = :plusgpertypeid,-,-,Relationship to recover all the associations between a certificate and items.,96871
N08,PLUSGWPMATCERT,WPMATERIAL,PLUSGWPMATCERT,wpitemid = :wpitemid,-,-,Relationship between the wp material and its association of items and certificates.,96872
N08,PLUSGITEM,PLUSGWPMATCERT,ITEM,itemid = :itemid and itemsetid = :itemsetid,-,-,Relationship between wp material item certificates table and items.,96873
N08,PLUSGITEMCERT,PLUSGWPMATCERT,PLUSGITEMCERT,itemid = :itemid and itemsetid = :itemsetid,-,-,Relationship to certificates associated with an item.,96874
N08,PLUSGPERTYPE,PLUSGWPMATCERT,PLUSGPERTYPE,plusgpertypeid = :pertypeid,-,-,Relationship to retrieve information of a certificate.,96875
N08,PLUSGWPMATCERT,PLUSGPERTYPE,PLUSGWPMATCERT,pertypeid = :plusgpertypeid,-,-,Relationship to recover all the associations between a certificate and items.,96876
N08,PLUSGPOLICYCHSTATUS,PLUSGPOLICY,PLUSGPOLICYCHSTATUS,-,-,-,Relationship to the non-persistent PlusGPolicyChStatus mbo. The resulting set will contain zero or more objects,96877
N08,PLUSGPOLICYSTATUS,PLUSGPOLICY,PLUSGPOLICYSTATUS,plusgpolicyid = :plusgpolicyid,-,-,Relationship to the PlusGPolicyStatus mbo,used to find all policy's status.
N08,PLUSGSTATUSDESC,PLUSGPOLICY,SYNONYMDOMAIN,domainid='PLUSGPOLICYSTATUS' and value = :status,-,-,Relationship to SYNONYMDOMAIN,96879
N08,PLUSGPERSONS,PLUSGPOLICY,PERSONGROUPVIEW,1=1,-,-,Retrieves all persons on PERSONGROUPVIEW.,96880
N08,BOOKMARK,PLUSGPOLICY,BOOKMARK,app = 'PLUSGPOL' and keyvalue = :plusgpolicyid,-,-,Relationship to the bookmark records,used to find the bookmark records for a given policy.
N08,DOCLINKS,PLUSGPOLICY,DOCLINKS,ownertable = 'PLUSGPOLICY' and ownerid = :plusgpolicyid,-,-,Relationship to the Doclinks table.  Used to find out DocLinks for the Policy. The resultset will contain zero or more objects.,96882
N08,PLUSGREGULATION,PLUSGPOLICY,PLUSGREGULATION,plusgregulationid = :regulationid,-,-,Retrieves regulation's information,96883
N08,PLUSGRISKASSESS,PLUSGPOLICY,PLUSGRISKASSESS,plusgriskassessid = :riskassessid,-,-,Retrieves a risk assessment based on the selected policy.,96884
N08,PLUSGFAILURELIST,PLUSGPOLICY,FAILURELIST,failurelist = :failurelist,-,-,Retrieves a failure class based on the selected policy.,96885
N08,PLUSGPOLICY,PLUSGREGULATION,PLUSGPOLICY,regulationid = :plusgregulationid,-,-,Retrieves the policies associated with a regulation.,96886
N08,PLUSGPOLICY,PLUSGRISKASSESS,PLUSGPOLICY,riskassessid = :plusgriskassessid,-,-,Retrieves the policies associated with a risk assessment.,96887
N08,PLUSGPOLICY,FAILURELIST,PLUSGPOLICY,failurelist = :failurelist,-,-,Retrieves the policies associated with a failure code.,96888
N08,CLASSSTRUCTURE,PLUSGPOLICY,CLASSSTRUCTURE,classstructureid = :classstructureid,-,-,Retrieves classstructure's information,96889
N08,KPIMAIN,PLUSGPOLICY,KPIMAIN,kpimainid = :kpimainid,-,-,Relationship to the kpi records from policy application,96890
N08,PLUSGPOLICY,KPIMAIN,PLUSGPOLICY,kpimainid = :kpimainid,-,-,Retrieves all the policies associated with current kpi,96891
N08,JOBPLAN,PLUSGPOLICY,JOBPLAN,plusgpolicyid = :plusgpolicyid,-,-,Retrieves all the job plans that use the current policy.,96892
N08,PM,PLUSGPOLICY,PM,plusgpolicyid = :plusgpolicyid,-,-,Retrieves all the preventive maintenances that use the current policy.,96893
N08,MEASUREPOINT,PLUSGPOLICY,MEASUREPOINT,measurepointid = :measurepointid,-,-,Relationship between policies and measures,96894
N08,METER,PLUSGPOLICY,METER,metername = :metername,-,-,Relationship between policies and meters,96895
N08,PLUSGPOLICY,MEASUREPOINT,PLUSGPOLICY,measurepointid = :measurepointid,-,-,Retrieves all policies related to current measurement point,96896
N08,PLUSGPOLICY,METER,PLUSGPOLICY,metername = :metername,-,-,Retrieves all policies related to current meter,96897
N08,PLUSGCREATEDBY,PLUSGPOLICY,PERSON,personid = :createdby,-,-,Retrieves a person record based on created by field,96898
N08,PLUSGAPPROVEDBY,PLUSGPOLICY,PERSON,personid = :approvedby,-,-,Retrieves a person record based on approved by field,96899
N08,PLUSGPOLICY,PERSON,PLUSGPOLICY,createdby = :personid or approvedby = :personid,-,-,Retrieves policies associated with current person.,96900
N08,PLUSGPOLICYESTBY,PLUSGPOLICY,PLUSGPOLICYESTBY,policyid = :plusgpolicyid,-,-,Retrieves the Policies Establish By records associated with current policy,96901
N08,PERSON,PLUSGPOLICYESTBY,PERSON,personid = :personid,-,-,Relationship between policy established by and person,96902
N08,PLUSGPOLICYESTBY,PERSON,PLUSGPOLICYESTBY,personid = :personid,-,-,Retrieves all policy established by records that use current person.,96903
N08,WORKLOG,PLUSGPOLICY,WORKLOG,recordkey = :policynum and class = 'PLUSGPOLICY' and ((:orgid is null or :orgid = '') or (orgid = :orgid and ((:siteid is null or :siteid = '') or siteid = :siteid))),-,-,Relationship to the worklog records,used to find the worklog records for a given policy
N08,COMMLOG,PLUSGPOLICY,COMMLOG,ownerid = :plusgpolicyid and ownertable = 'PLUSGPOLICY',-,-,Relationship to the COMMLOG table used to get all communication log entries for a policy,96905
N08,ASSET,PLUSGPOLICY,ASSET,plusgpolicyid = :plusgpolicyid,-,-,Retrieves all the assets where the current policy is being used.,96906
N08,LOCATIONS,PLUSGPOLICY,LOCATIONS,plusgpolicyid = :plusgpolicyid,-,-,Retrieves all the locations where the current policy is being used.,96907
N08,PLUSGPOLICYSPEC,PLUSGPOLICY,PLUSGPOLICYSPEC,policyid = :plusgpolicyid,-,-,Retrieves the specification for the current operating policy.,96908
N08,ASSETATTRIBUTE,PLUSGPOLICYSPEC,ASSETATTRIBUTE,assetattrid = :assetattrid,-,-,Relationship to the assetattribute table,used to find the assetattribute record for a given operating policy (plusgpolicypec.assetattrid = assetattribute.assetattrid). The resulting set will contain one object.
N08,CLASSSPEC,PLUSGPOLICYSPEC,CLASSSPEC,classstructureid = :classstructureid,-,-,Relationship to the classspec table,used to find the classspec record for a given plusgpolicyspec. (plusgpolicyspec.classspecid = classspec.classspecid) The resulting set will contain one object.
N08,CLASSSPEC,PLUSGPOLICY,CLASSSPEC,classstructureid = :classstructureid,-,-,Relationship to the classspec table,used to find the classspec record for a given plusgpolicyspec. (plusgpolicyspec.classspecid = classspec.classspecid) The resulting set will contain one object.
N08,NEWASSETSITE,LINESPLIT,ASSET,assetnum=:newassetnum and siteid=:tositeid,-,-,Relationship to the Asset table,used to find the rotating asset. The resulting set will contain zero or one object.
N08,INVUSELINE,LINESPLIT,INVUSELINE,invuselineid=:invuselineid,-,-,Relationship to the Asset table,used to find the rotating asset. The resulting set will contain zero or one object.
N08,SHIPMENTLINE,INVUSELINESPLIT,SHIPMENTLINE,invuselinesplitid=:invuselinesplitid,-,-,Relationship to the ShipmentLine table,used to find the invuselinesplit records. The resulting set will contain zero or one object.
N08,SHIPMENT,INVUSE,SHIPMENT,invusenum=:invusenum and fromsiteid=:siteid,-,-,Relationship to the Shipment table,used to find the invuse record. The resulting set will contain zero or one object.
N08,MATRECSHIPTRANSFER,INVUSELINE,MATRECTRANS,invuselineid=:invuselineid and issuetype in (select value from synonymdomain where domainid='ISSUETYP' and maxvalue='SHIPTRANSFER'),-,-,Relationship to the InvUseline table,used to find the MatRecTrans record for the given invuselineid and SHIPTRANSFER issue type. The resulting set will contain zero or more objects.
N08,TOINVENTORY,INVRESERVE,INVENTORY,itemnum=:itemnum and location=:tostoreloc and siteid=:siteid and itemsetid=:itemsetid,-,-,Relationship to the Inventory table,used to find the reservation records. The resulting set will contain one or more objects.
N08,TOLOCATIONS,LOCATIONS,INVENTORY,location=:tostoreloc and siteid=:siteid,-,-,Relationship to the Location table,used to find the reservation records. The resulting set will contain one or more objects.
N08,TOLOCATIONS,INVRESERVE,LOCATIONS,location=:tostoreloc and siteid=:siteid,-,-,Relationship to the Locations table,used to find the location information in a given site to which the material is transferred. The resulting set will contain zero or one object.
N08,PARENTMATRECTRANS,SHIPMENT,MATRECTRANS,shipmentnum=:shipmentnum and fromsiteid=:fromsiteid and issuetype in (select value from synonymdomain where domainid='ISSUETYP' and maxvalue='SHIPRECEIPT'),-,-,Relationship to the Shipment table,used to find the MatRecTrans record for the given shipmentnum and SHIPTRANSFER issue type. The resulting set will contain zero or more objects.
N08,SHIPMENTLINE,MATRECTRANS,SHIPMENTLINE,shipmentnum=:shipmentnum and shipmentlinenum=:shipmentlinenum and siteid=:siteid,-,-,Relationship to the MatRecTrans table,used to find the ShipmentLine record for the given shipmentnum
N08,INVBALANCESLOT,SPLITUSELINE,INVBALANCES,itemnum=:itemnum and location=:fromstoreloc and lotnum=:fromlot and itemsetid=:itemsetid and siteid=:siteid,-,-,Relationship to the InvBalances table,used to find the balances on hand for inventory usage line with bin num and lot num are both specified. The resulting set will contain zero or one object.
N08,RETURNRECEIPTINPUT,SHIPMENT,RECEIPTINPUT,-,-,-,Relationship to the non-persistent ReceiptInput table,used to create shipment receipt return transactions for a given shipment. (No where clause). The resulting set will contain zero objects.  Note: This relationship is used only for the Shipment Receiving application
N08,VOIDRECEIPTINPUT,SHIPMENT,RECEIPTINPUT,-,-,-,Relationship to the non-persistent ReceiptInput table,used to create shipment receipt void transactions for a given shipment. (No where clause). The resulting set will contain zero objects.  Note: This relationship is used only for the Shipment Receiving application
N08,RECEIPTTYPEMATREC,SHIPMENT,MATRECTRANS,shipmentnum=:shipmentnum and siteid=:siteid and status is not null and issuetype in (select value from synonymdomain where domainid='ISSUETYP' and maxvalue in ('TRANSFER','SHIPRECEIPT')) and  not exists (select locations.location from locations where locations.location=matrectrans.fromstoreloc and locations.siteid=matrectrans.fromsiteid and  locations.type in (select value from synonymdomain where domainid='LOCTYPE' and maxvalue='HOLDING')),-,-,Relationship to the MatRecTrans table
N08,RETURNSHIPRECEIPTS,MATRECTRANS,MATRECTRANS,receiptref=:matrectransid and issuetype in (select value from synonymdomain where domainid='ISSUETYP' and maxvalue='SHIPRETURN'),-,-,Relationship to the non-persistent ReceiptInput table,used to create shipment receipt void transactions for a given shipment. (No where clause). The resulting set will contain zero objects.  Note: This relationship is used only for the Shipment Receiving application
N08,RETURNVOIDSHIPRECEIPTS,MATRECTRANS,MATRECTRANS,receiptref=:matrectransid and issuetype in (select value from synonymdomain where domainid='ISSUETYP' and maxvalue in ('SHIPRETURN','VOIDSHIPRECEIPT')),-,-,Relationship to the MatRecTrans table
N08,INVUSELINE,MATRECTRANS,INVUSELINE,invuselineid=:invuselineid,-,-,Relationship to InvUseLine table,used to find corresponding receipt.
N08,POLINE,INVUSELINE,POLINE,ponum=:ponum and polinenum=:polinenum and ( siteid=:siteid or siteid=:tositeid),-,-,Relationship to poline table,used to find poline records for the ponum
N08,MATRECSHIPRECEIPT,INVUSELINE,MATRECTRANS,invuselineid=:invuselineid and issuetype in (select value from synonymdomain where domainid='ISSUETYP' and maxvalue='SHIPRECEIPT'),-,-,Relationship to matrectrans table,used to find matrectrans records for the given invuselineid and SHIPRECEIPT issuetype. The resulting set will contain zero or one object.
N08,INVBALANCES,INVUSELINE,INVBALANCES,itemnum=:itemnum and location=:tostoreloc and binnum=:tobin and lotnum=:tolot and itemsetid=:itemsetid and siteid=:tositeid,-,-,Relationship to invbalances table,used to find invbalances records for the invuseline record. The resulting set will contain zero or one object.
N08,PLUSCASSETTRANSMOVED,LOCATIONS,ASSETTRANS,( fromloc = :location or toloc=:location or pluscfromlploc=:location or plusctolploc=:location ) and siteid = :siteid and transtype in (select value from synonymdomain where domainid='ASSETTRANSTYPE' AND MAXVALUE='MOVED'),-,-,Relationship to the ASSETTRANS table,used to find the ASSETTRANS for the LOCATION or Loop Locatoin
N08,PLUSCAVTLUSE,ASSET,WORKORDER,siteid = :siteid and wonum in (select refwo from tooltrans where rotassetnum = :assetnum and siteid = :siteid group by refwo having sum(toolqty) > 0),-,-,Relationship to the WORKORDER table used by the view tool usage dialog,96328
N08,PLUSCAWODS,ASSET,PLUSCWODS,siteid = :siteid and assetnum = :assetnum,-,-,Relationship to the PLUSCWODS table through its related assetnum used on View Calibration History dialog,96329
N08,PLUSCCOMPDESC,ASSET,COMPANIES,company = :pluscvendor and orgid = :orgid,-,-,Relationship to show description for pluscvendor,96330
N08,PLUSCDOCLINKS,WORKORDER,DOCLINKS,(ownertable='WORKORDER' and ownerid=:workorderid) or (ownertable='WORKORDER' and ownerid in (select workorderid from workorder where parent=:wonum and istask=1 and siteid=:siteid)) or (ownertable='ASSET' and ownerid in (select assetuid from asset where assetnum=:assetnum and siteid=:siteid)) or (ownertable='LOCATIONS' and ownerid in (select locationsid from locations where location=:location and siteid=:siteid)) or (ownertable='JOBPLAN' and ownerid in (select jobplanid from jobplan where jpnum=:jpnum and (siteid is null or siteid=:siteid) and pluscrevnum =:pluscjprevnum )) or (ownertable='PM' and ownerid in (select pmuid from pm where pmnum=:pmnum and siteid=:siteid)) or (ownertable='SAFETYPLAN' and ownerid in (select safetyplanuid from safetyplan,wosafetyplan where safetyplan.safetyplanid=wosafetyplan.safetyplanid and wosafetyplan.wonum=:wonum and wosafetyplan.siteid=:siteid)) or (ownertable in ('SR','INCIDENT','PROBLEM') and ownerid in (select ticketuid from ticket,relatedrecord where ticketid=recordkey and ticket.class = relatedrecord.class and relatedrecclass='WORKORDER' and relatedreckey=:wonum and relatedrecsiteid=:siteid)) or (ownertable in ('WOCHANGE'
N08,PLUSCDSALASSET,PLUSDSPLAN,ASSET,assetnum in (select assetnum from pluscdsassetlink where dsplannum = :dsplannum) and orgid=:orgid,-,-,-,96332
N08,ITEMCONDITION,RECEIPTINPUT,ITEMCONDITION,itemnum = :itemnum and itemsetid=:itemsetid and conditioncode=:conditioncode,UNDEFINED,0,Relationship to the itemcondition table,used to find the itemcondition records for a given Receipt Input record. (itemcondition.itemnum = receiptinput.itemnum and itemcondition.itemsetid=receiptinput.itemsetid and itemcondition.conditioncode=receiptinput.conditioncode). The resulting set will contain zero or one object.
N08,RELATEDVIEWATTRIBUTES,MAXTABLECFG,MAXVIEWCOLUMNCFG,tablename = :tablename or (maxviewcolumncfg.tablename is null and maxviewcolumncfg.samestorageas is not null and exists (select * from maxviewcolumncfg c2 where c2.viewname = maxviewcolumncfg.viewname and c2.viewcolumnname = maxviewcolumncfg.samestorageas and c2.tablename = :tablename)),UNDEFINED,0,All view columns derived from this table.  The result set will contain zero or more objects.,1518
N08,MAXVIEWCOLUMNCFG,MAXVIEWCFG,MAXVIEWCOLUMNCFG,viewname = :viewname,UNDEFINED,0,MaxViewCfg to MaxViewColumnCfg.  This is the exploded set of attributes in this view.  The result set will contain one or more objects.,1519
N08,ACCDEFCOMMODITY,ACCOUNTDEFAULTS,COMMODITIES,commodity = :groupvalue and parent is null,UNDEFINED,0,Relationship to the Commodities table,used to find the commodity for a given accountdefault type. (commodities.commodity = accountdefaults.groupvalue and parent is null). The resulting set will contain zero or one object.
N08,PRIMARYPERSONGROUPPERSONS,PERSONGROUP,PERSON,personid in (select respparty from persongroupteam where persongroup=:persongroup and resppartygroup=respparty),UNDEFINED,0,REMARKS select person info for all primary persons in the persongroup,2002
N08,METERINGROUP,ASSETMETER,METERINGROUP,groupname = :groupname and metername = :metername,UNDEFINED,0,Relationship to the MeterInGroup table,used to find the meteringroup associated with the current AssetMeter. The WHERE clause is: meteringroup.groupname = assetmeter.groupname and meteringroup.metername = assetmeter.metername. The resulting set will contain zero or one object.
N08,ITEM,MASTERPM,ITEM,itemnum = :itemnum and itemsetid = :itemsetid,UNDEFINED,0,Relationship to the MasterPM's Item records,used to find the item records for a given MasterPM. (item.itemnum=masterpm.itemnum and item.itemsetid = masterpm.itemsetid). The resulting set will contain zero or one record.
N08,RELEASES,CONTRACT,PO,contractrefid=:contractid,UNDEFINED,0,Relationship to the PO table,used to find all release purchase orders for a given purchase contract. (po.origcontractid = contract.contractid). The resulting set will contain zero or more objects.
N08,COMMLOG_ROLE,COMMLOG,MAXROLE,(objectname='WOCHANGE' and :ownertable='CHANGE') or (objectname='WOACTIVITY' and :ownertable='ACTIVITY') or (objectname='WORELEASE' and :ownertable='RELEASE') or objectname=:ownertable or objectname is null,UNDEFINED,0,Relationship to get maxrole set.,2370
N08,COMMLOG_EMAIL,COMMLOG,EMAIL,-,UNDEFINED,0,Relationship to get EMAIL set.,2371
N08,SLAASSETLOCLOCATIONDESC,SLAASSETLOC,LOCATIONS,location = :location and siteid = :siteid,UNDEFINED,0,Relationship to the Locations table,used to find the Locations records for a given SLAAssetLoc. (slaassetloc.location = locations.location). The resulting set will contain 0 or 1 object.
N08,DPADISK,DPACOMPUTER,DPACDISK,nodeid=:nodeid,UNDEFINED,0,-,1623
N08,DPAMSWVARIANT,DPAMSOFTWARE,DPAMSWVARIANT,softwarename = :softwarename,UNDEFINED,0,-,1618
N08,MAXDOMAIN,NUMRANGEDOMAIN,MAXDOMAIN,domainid = :domainid and domaintype in (select value from synonymdomain where domainid = 'DOMTYPE' and maxvalue = 'NUMRANGE'),UNDEFINED,0,Relationship to MaxDomain table. (maxdomain.domainid = alndomainvalue.domainid and maxdomain.domaintype in (select valuelist.value from valuelist where valuelist.listname = 'DOMTYPE' and valuelist.maxvalue = 'NUMRANGE')). The result set will contain one object.,1735
N08,BILLTO,CONTRACTAUTH,ADDRESS,addresscode = :billto and orgid=:authorgid,UNDEFINED,0,Relationship to the Address table,used to find all Address records for a given ContractAuth.(contractauth.billto=address.addresscode). The resulting set will contain one record.
N08,MATUSETRANS,WPMATERIAL,MATUSETRANS,refwo=:wonum and storeloc=:location and itemnum=:itemnum and itemsetid = :itemsetid and tositeid=:siteid,UNDEFINED,0,Relationship to the MatUseTrans table,used to find the matusetrans for a given work plan material. This resulting set will contain zero or more objects.
N08,MAXVARINPUTDRILLDOWN,ORGANIZATION,MAXVARINPUT,orgid=:orgid,UNDEFINED,0,Relationship to the MaxVarInput table,used to get an instance of the non-persistent MBO of MaxVarInput for the organization. (maxvarinput.orgid =  organization.orgid). This relationship will find zero or more objects.
N08,CONTRACT,CONTCOMMODITY,CONTRACT,contractnum=:contractnum and revisionnum=:revisionnum and orgid=:orgid,UNDEFINED,0,Relationship to the CONTRACT table,used to find the contract records. The resulting set will contain one object.
N08,COMMTMPLT_SENDTOGROUP,COMMTEMPLATE,COMMTMPLTSENDTO,templateid=:templateid and type='GROUP',UNDEFINED,0,Relationship to the commtmpltsendto table,used to get all recipients of type GROUP for a commtemplate.
N08,COMMTMPLT_SENDTOROLE,COMMTEMPLATE,COMMTMPLTSENDTO,templateid=:templateid and type='ROLE',UNDEFINED,0,Relationship to the commtmpltsendto table,used to get all recipients of type ROLE for a commtemplate.
N08,SHIFT,PERSONCAL,SHIFT,shiftnum=:shiftnum and orgid=:orgid,UNDEFINED,0,Relationship to the Shift table.  Used to find the shift whose shiftnum is contained in this personcals shiftnum.  (personcal.shiftnum=shift.shiftnum).  The resulting set will return zero or one object.,1659
